num,topic,subtopic
8,General,-
57,Actors & Characters,Character type
20,Actors & Characters,Character roles
39,Actors & Characters,Acting cast
27,Actors & Characters,Female names
42,Actors & Characters,Male names
46,Actors & Characters,Social gatherings
17,Environment & FX,Setting
1,Environment & FX,Props
50,Environment & FX,Special effects & stunts
53,Environment & FX,Costume
14,Environment & FX,Monster / animal
48,Fear & Suspense,Scary descriptors
52,Fear & Suspense,Horror genre
47,Fear & Suspense,Mystery
23,Sex Related,Sexual attraction
3,Sex Related,Sex scenes
19,Violence,-
16,Music,-
24,Verbs,-
40,Literary,-
49,Plot & Theme,Plot description
6,Plot & Theme,Themes / motifs
0,Plot & Theme,Critical story arcs
21,Narration & Sound Design,-
2,Crime Drama,-
51,Action & Martial Arts,-
28,Critical Praise,Unique / stylish / creative
45,Critical Praise,Exciting / engrossing
18,Critical Praise,Positive (general)
37,Critical Praise,Evocative / emotional
38,Bad / Boring / Failure,-
30,Review Related,Review meta
25,Review Related,Reviewer assessment
58,Review Related,Classic status
5,Review Related,Screening length
7,Miscellaneous,Time units
33,Miscellaneous,Finance related
54,Miscellaneous,Film media/technology
44,Sports & Competition,-
55,Writing/Directing,-
22,Comedy,-
34,Sci-fi / Fantasy / Cartoons,Fantasy
56,Sci-fi / Fantasy / Cartoons,Sci-fi
4,Sci-fi / Fantasy / Cartoons,Cartoons / animation
35,Television,-
36,Period Genres,Medieval  / theology
12,Period Genres,History & geography
41,Period Genres,Military
